paper_id,title,authors,year,citation_count,venue,publication_date,has_pdf,doi,arxiv_id
c83b6a023a5c5ec71b44920a41b41fc007266c44,Why Do Multi-Agent LLM Systems Fail?,M. Cemri; Melissa Z. Pan; Shuyi Yang; Lakshya A. Agrawal; Bhavya Chopra,2025,260,arXiv.org,2025-03-17,Yes,10.48550/arXiv.2503.13657,2503.13657
274c5e690df6ca44c62430a39f3f8e4a6d9e5b79,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,Samuel Schmidgall; Rojin Ziaei; Carl Harris; Eduardo Reis; Jeffrey Jopling,2024,159,arXiv.org,2024-05-13,Yes,10.48550/arXiv.2405.07960,2405.07960
cf270bea2fba82bcff83f380c1f100d346b14ecf,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,Chang Ma; Junlei Zhang; Zhihao Zhu; Cheng Yang; Yujiu Yang,2024,158,Neural Information Processing Systems,2024-01-24,Yes,10.48550/arXiv.2401.13178,2401.13178
d4e0d8645fe6972c1974f01300f7a0ffa8d85fff,"Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities",Charles Retzlaff; Srijita Das; Christabel Wayllace; Payam Mousavi; Mohammad Afshari,2024,121,Journal of Artificial Intelligence Research,2024-01-30,Yes,10.1613/jair.1.15348,
b93ac10de176c4a7aaa2cc652b90bb25636532cd,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,Siyuan Wang; Zhuohan Long; Zhihao Fan; Zhongyu Wei; Xuanjing Huang,2024,73,International Conference on Computational Linguistics,2024-02-18,Yes,10.48550/arXiv.2402.11443,2402.11443
30005325950b25248d4c825e48feea5aed160ea9,SPA-Bench: A Comprehensive Benchmark for SmartPhone Agent Evaluation,Jingxuan Chen; Derek Yuen; Bin Xie; Yuhao Yang; Gongwei Chen,2024,55,International Conference on Learning Representations,2024-10-19,Yes,10.48550/arXiv.2410.15164,2410.15164
361e68a489b714660ef6459952b9e40d88f76f90,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,Lajos Muzsai; David Imolai; András Lukács,2024,42,arXiv.org,2024-12-02,Yes,10.48550/arXiv.2412.01778,2412.01778
5f0913ff752271bdb958b73e13f6b46577554379,JAILJUDGE: A Comprehensive Jailbreak Judge Benchmark with Multi-Agent Enhanced Explanation Evaluation Framework,Fan Liu; Yue Feng; Zhao Xu; Lixin Su; Xinyu Ma,2024,39,arXiv.org,2024-10-11,Yes,10.48550/arXiv.2410.12855,2410.12855
c4c9f7a2e76a1edfb4ab39eb78b99ff72763111c,DataSciBench: An LLM Agent Benchmark for Data Science,Dan Zhang; Sining Zhoubian; Min Cai; Fengzu Li; Lekang Yang,2025,37,arXiv.org,2025-02-19,Yes,10.48550/arXiv.2502.13897,2502.13897
40d8e46e117013f3e3143bb2ad03b3fb5c58f00b,Fraud-R1 : A Multi-Round Benchmark for Assessing the Robustness of LLM Against Augmented Fraud and Phishing Inducements,Shu Yang; Shenzhe Zhu; Zeyu Wu; Keyu Wang; Junchi Yao,2025,27,Annual Meeting of the Association for Computational Linguistics,2025-02-18,Yes,10.48550/arXiv.2502.12904,2502.12904
dd78cb0e63d3821713db3b4a347984eb3c1c157e,Magentic-UI: Towards Human-in-the-loop Agentic Systems,Hussein Mozannar; Gagan Bansal; Cheng Tan; Adam Fourney; Victor C. Dibia,2025,23,arXiv.org,2025-07-30,Yes,10.48550/arXiv.2507.22358,2507.22358
d5676076ac122b8767126e76cb3a1867e1e50741,CToolEval: A Chinese Benchmark for LLM-Powered Agent Evaluation in Real-World API Interactions,Zishan Guo; Yufei Huang; Deyi Xiong,2024,21,Annual Meeting of the Association for Computational Linguistics,,Yes,10.18653/v1/2024.findings-acl.928,
